IP Address,Timestamp,Packet Loss,Min RTT,Ave RTT,Max RTT,Bandwidth, Packet Delay Variation
192.168.0.2,55:53.6,0,1.695156097,2.677059174,15.45619965,0.023906831,0.001355877
192.168.0.1,56:42.6,0,2.100467682,15.78386784,191.088438,0.004054773,0.003337402
192.168.0.2,00:53.4,0,1.52182579,2.054033279,4.342079163,0.03115821,0.001448021
192.168.0.1,01:42.5,0,2.059698105,5.174102783,64.20755386,0.012369294,0.005330601
192.168.0.4,02:31.6,0,3.19314003,92.31390476,191.2658215,0.000693287,-0.006347017
192.168.0.1,05:53.3,0,1.888513565,6.689047813,164.4766331,0.009567879,-0.006965103
192.168.0.2,06:42.4,0,1.714468002,3.837628365,27.53305435,0.016676967,0.002231417
192.168.0.2,45:53.3,0,1.41787529,2.923703194,45.14598846,0.021890047,0.003388348
192.168.0.1,46:42.4,0,2.062797546,6.652989388,112.0114326,0.009619736,0.009110231
192.168.0.5,46:45.5,100,999999999,0,0,0,0
192.168.0.6,47:31.6,0,2.403259277,65.50038338,136.9395256,0.000977094,-0.000270395
192.168.0.2,50:53.2,0,1.590251923,2.390546799,8.48197937,0.026772118,0.001199093
192.168.0.1,51:42.3,0,1.930713654,5.633831024,107.8875065,0.011359943,0.007223063
192.168.0.6,52:31.4,0,2.619504929,61.57371044,117.0465946,0.001039405,0.003074503
192.168.0.2,55:53.2,0,1.466274261,2.282276154,8.961677551,0.028042181,0.000844584
192.168.0.1,56:42.3,0,2.046346664,5.708332062,91.20202065,0.011211681,0.0068081
192.168.0.6,57:31.5,0,2.439260483,67.56759644,154.7832489,0.0009472,0.008680744
192.168.0.2,00:53.6,0,1.524209976,2.304329872,12.91394234,0.027773801,0.000913076
192.168.0.1,01:42.8,0,2.131223679,26.62611961,1111.050606,0.002403655,0.048744087
192.168.0.4,02:32.0,0,2.756357193,80.52770138,144.2716122,0.000794758,0.005690804
192.168.0.6,03:21.1,0,17.00162888,68.11338425,156.9187641,0.00093961,-0.000803051
192.168.0.3,05:16.1,100,999999999,0,0,0,0
192.168.0.2,05:53.1,0,1.629829407,2.845201492,46.85425758,0.022494013,-0.000612459
192.168.0.1,06:42.3,0,2.042531967,25.8652544,1083.69112,0.002474362,0.046102591
192.168.0.6,07:31.4,0,16.07489586,65.76108456,191.3354397,0.00097322,0.004489946
192.168.0.2,10:53.9,0,1.436233521,1.907124519,4.04381752,0.033558375,0.001393013
192.168.0.1,11:43.0,0,1.960277557,7.936840057,96.24528885,0.008063663,-0.002371874
192.168.0.1,15:54.4,0,1.565694809,4.350018501,37.76168823,0.014712581,0.003015566
192.168.0.2,16:43.4,0,1.546859741,2.121348381,9.90486145,0.030169491,0.001148138
192.168.0.6,17:34.4,0,22.44663239,186.3334227,1841.920137,0.00034347,-0.061641283
192.168.0.1,25:54.0,0,2.130031586,9.783806801,130.0547123,0.006541421,0.010730534
192.168.0.2,26:43.1,0,1.746177673,7.77794838,70.62530518,0.008228391,-0.000436192
192.168.0.4,27:32.3,0,3.219127655,86.33140087,182.315588,0.000741329,0.005150337
